CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10376,AMST,420,A,Senior Research Seminar,4,W Register,W,1400,1630,,NA,NA,Walsh-Ellett Hall 206,20,5,Available: 15,Writing Intensive; Open only to seniors pursuing majors in American studies,NA
10712,ANTH,411,A,Research Seminar: Campus Life and Academic Culture,4,R O'Connor,T,1400,1630,,NA,NA,Woods Laboratories 342,15,4,Available: 11,Instructor permission required,NA
10386,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,1230,1345,,NA,NA,Carnegie Hall 302,20,21,Closed,Reserved Seats: seniors-4 (none available), juniors-4 (none available), sophomores-4 (none available), returning freshmen-8 (2 available),NA
10387,ARTH,212,B,American Animation, 1910-1960,4,G Clark,TR,1400,1515,,NA,NA,Carnegie Hall 302,20,21,Closed,Reserved Seats: seniors-4 (2 available), juniors-4 (none available), sophomores-4 (none available), returning freshmen-8 (6 available),NA
10391,ARTH,340,A,American Art,4,M Brennecke,TR,930,1045,,NA,NA,Carnegie Hall 304,15,14,Available: 1,Prerequisites: ARTH 104 or HUMN 202,NA
10392,ARTH,340,B,American Art,4,M Brennecke,TR,1100,1215,,NA,NA,Carnegie Hall 304,15,18,Closed,Prerequisites: ARTH 104 or HUMN 202,NA
10545,ENGL,377,A,American Literature I,4,J Grammer,MWF,900,950,,NA,NA,St. Luke's 202,25,16,Available: 9,,NA
10547,ENGL,391,A,Modern American Poetry,4,B Clarkson,MWF,900,950,,NA,NA,St. Luke's 204,25,26,Closed,,NA
10548,ENGL,393,A,Faulkner,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,13,Available: 2,Writing Intensive,NA
10568,HIST,201,A,History of the United States I,4,C Israel,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 306,25,27,Closed,,NA
10569,HIST,232,A,African-American History since 1865,4,H Roberson,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 202,20,17,Available: 3,,NA
10570,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,TR,930,1045,,NA,NA,St. Luke's 102,22,20,Available: 2,,NA
10574,HIST,317,A,African-American Intellectual History,4,H Roberson,M,1400,1630,,NA,NA,Walsh-Ellett Hall 204,15,13,Available: 2,,NA
10573,HIST,394,A,Reconstructing the South,4,J Willis,TR,1100,1215,,NA,NA,Woods Laboratories 238,15,14,Available: 1,Writing Intensive,NA
10475,MUSC,223,A,American Music,4,S Miller,TR,1100,1215,,NA,NA,Guerry Hall 1,20,20,Closed,Prerequisites: MUSC 101 or HUMN 202,NA
10605,POLS,322,A,United States Foreign Policy,4,B Ward,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 302,25,29,Closed,,NA
10611,POLS,331,A,Introduction to Constitutional Law,4,R Pearigen,TR,800,915,,NA,NA,Walsh-Ellett Hall 210,25,13,Available: 12,,NA
10608,POLS,344,A,Myth America,4,G McKeen,MW,1400,1515,,NA,NA,Walsh-Ellett Hall 304,25,23,Available: 2,,NA
