CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
30062,AMST,333,A,Junior Seminar,4,W Register,T,1400,1630,,NA,NA,Gailor Hall 019,15,6,Available: 9,Waitlist - contact instructor,NA
30090,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 216,15,0,Available: 15,,NA
30138,ENGL,378,A,American Literature II,4,E Grammer,TR,930,1045,,NA,NA,Gailor Hall 130,25,22,Available: 3,,NA
30141,ENGL,394,A,Literature of the American South,4,T Carlson,TR,1100,1215,,NA,NA,duPont Library 215,25,26,Closed,,NA
30143,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,16,Closed,Writing Intensive,NA
30167,HIST,202,A,History of the United States II,4,W Register,MWF,900,950,,NA,NA,Walsh-Ellett Hall 306,24,24,Closed,Reserved Seats: juniors-5 (none available), sophomores-19 (6 available),NA
30755,HIST,227,A,Intellectual and Cultural History of the United States I,4,H Roberson,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 204,20,21,Closed,,NA
30172,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 306,25,25,Closed,Waitlist - contact instructor,NA
30183,HIST,322,A,Southern Lives,4,J Willis,TR,930,1045,,NA,NA,Walsh-Ellett Hall 204,12,12,Closed,Writing Intensive; Waitlist - contact instructor,NA
30182,HIST,347,A,The American Civil Rights Movement,4,H Roberson,M,1400,1630,,NA,NA,Walsh-Ellett Hall 204,15,14,Available: 1,Writing Intensive,NA
30184,HIST,394,A,Reconstructing the South,4,J Willis,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 204,12,11,Available: 1,Writing Intensive; Waitlist - contact instructor,NA
30192,POLS,203,A,The Presidency,4,C Brockett,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 210,25,30,Closed,Waitlist - contact instructor,NA
30193,POLS,204,A,Legislative Process,4,A Hatcher,TR,1400,1515,,NA,NA,Guerry Hall 205,25,23,Available: 2,,NA
30201,POLS,390,A,The United Nations,4,E Dunn,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 310,25,25,Closed,,NA
30049,RELG,391,A,Southern Religion,4,J Smith,MWF,900,950,,NA,NA,duPont Library G31,15,21,Closed,,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
30083,ANTH,104,A,Introductory Cultural Anthropology,4,D Murdock,MWF,800,850,,NA,NA,Woods Laboratories 342,22,22,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-10 (none available),NA
30085,ANTH,104,B,Introductory Cultural Anthropology,4,C Ray,MWF,900,950,,NA,NA,Walsh-Ellett Hall 308,25,27,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-13 (none available),NA
30086,ANTH,104,C,Introductory Cultural Anthropology,4,C Ray,MWF,1000,1050,,NA,NA,Walsh-Ellett Hall 308,25,26,Closed,Reserved Seats: sophomores-12 (none available), returning freshmen-10 (none available),NA
30411,ANTH,104,D,Introductory Cultural Anthropology,4,J Flowerday,TR,1100,1215,,NA,NA,Gailor Hall 112,22,31,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-10 (none available),NA
30931,ANTH,104,E,Introductory Cultural Anthropology,4,J Flowerday,TR,1530,1645,,NA,NA,Gailor Hall 110,25,30,Closed,,NA
30750,ANTH,107,A,Human Evolution and Variation,4,D Murdock,TR,930,1045,,NA,NA,Woods Laboratories 342,22,24,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-10 (5 available),NA
30339,ANTH,302,A,Southern Cultures,4,C Ray,MW,1300,1415,,NA,NA,Gailor Hall 110,20,22,Closed,,NA
30090,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 216,15,0,Available: 15,,NA
