CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days 2,Beg 2,End 2,Location,Limit,Enr,Av Seats,Additional Info,General Education
,,,,,,,,,,,,,,,,,,
American Studies,,,,,,,,,,,,,,,,,,
15552,AMST,333,A,Junior Seminar,4,W Register,M,1400,1630,,,,Snowden Hall 109,16,6,Available: 10,Consent of professor required for late entry,
15553,AMST,370,A,The Civil War and Reconstruction in the South Carolina Sea Islands,4,J McCardell,T,1930,2200,,,,Walsh-Ellett Hall 306,30,29,Available: 1,Consent of professor required for late entry,
15804,AMST,410,A,The Muse of War: The U.S. Civil War in Literature and Memory,4,S Gardner,W,1400,1630,,,,Gailor Hall 019,16,10,Available: 6,Open only to juniors and seniors; Consent of professor required for late entry,
15914,EDUC,279,A,History of American Education,4,M Martin,T,1600,1900,,,,Carnegie Hall 013,18,13,Available: 5,Community Engagement; Consent of professor required for late entry,
15915,EDUC,279,C1,History of American Education,0,M Martin,M,1230,1500,,,,TBA,8,8,Closed,Community Engagement,
15916,EDUC,279,C2,History of American Education,0,M Martin,W,1230,1500,,,,TBA,8,2,Available: 6,Community Engagement,
15917,EDUC,279,C3,History of American Education,0,M Martin,R,1230,1500,,,,TBA,8,3,Available: 5,Community Engagement,
15847,ENGL,378,A,American Literature II,4,E Grammer,TR,1330,1445,,,,Gailor Hall 128,24,22,Available: 2,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
15849,ENGL,394,A,Literature of the American South,4,J Grammer,TR,1100,1215,,,,Gailor Hall 128,22,22,Closed // Waitlist: 0,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
15850,ENGL,396,A,American Environmental Literature,4,J Gatta,MWF,1000,1050,,,,Walsh-Ellett Hall 210,22,20,Available: 2,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
15851,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,,,duPont Library 215,15,13,Available: 2,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
15852,ENGL,398,A,American Poetry Since World War II,4,W Prunty,T,1400,1630,,,,Gailor Hall 114,15,15,Closed // Waitlist: 0,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
15564,HIST,202,A,History of the United States II,4,E Senefeld,TR,930,1045,,,,Walsh-Ellett Hall 210,25,24,Available: 1,Reserved Seats: new first-year students-8 (none available); Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,G4: Exploring Past and Present
15823,HIST,235,A,Introduction to Public History,4,M Shea,TR,930,1045,,,,Gailor Hall 212,20,20,Closed // Waitlist: 0,Consent of professor required for late entry,
15572,HIST,317,A,African-American Intellectual History,4,E Senefeld,M,1300,1530,,,,Walsh-Ellett Hall 208,16,15,Available: 1,Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,
15558,HIST,322,A,Southern Lives,4,J Willis,TR,1100,1215,,,,Walsh-Ellett Hall 204,15,11,Available: 4,Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,
15574,HIST,327,A,The Old South,4,J Willis,MW,1400,1515,,,,Snowden Hall 215,25,25,Closed // Waitlist: 0,Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,
15575,HIST,375,A,The Outlaw in American Culture,4,J Berebitsky,M,1400,1630,,,,Spencer Hall 164,17,16,Available: 1,Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,G4: Exploring Past and Present
15881,POLS,203,A,The Presidency,4,A Hatcher,TR,1330,1445,,,,Walsh-Ellett Hall 210,25,24,Available: 1,Reserved Seats: new first-year students-8 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
15885,POLS,223,A,Public Policy,4,J Hopper,TR,800,915,,,,Walsh-Ellett Hall 206,25,25,Closed // Waitlist: 0,Reserved Seats: new first-year students-9 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
15887,POLS,304,A,American Political Thought,4,A Dahl,TR,930,1045,,,,Woods Laboratories 121,20,20,Closed // Waitlist: 0,Not open to new first-year students; Consent of professor required for late entry,
15889,POLS,313,A,Environmental Politics and Policy,4,J Hopper,MW,1400,1515,,,,Walsh-Ellett Hall 210,20,19,Available: 1,Not open to new first-year students; Consent of professor required for late entry,
15589,RELG,119,A,"American Religious History: Contact, Exchange, Migration",4,K Curts,MW,1400,1515,,,,Spencer Hall 172,22,18,Available: 4,Reserved Seats: new first-year students-8 (1 available); Consent of professor required for late entry,G3: Seeking Meaning
15824,SAST,320,A,Place-based Research Methods and Heritage Site Interpretation,4,M Shea,T,1330,1630,,,,Spencer Hall 262,12,11,Available: 1,Community Engagement; Consent of professor required for late entry,
15556,WMST,100,A,Introduction to Women's and Gender Studies,4,J Berebitsky,TR,930,1045,,,,Walsh-Ellett Hall 202,22,22,Closed // Waitlist: 0,"Open only to freshmen, sophomores, and juniors; Reserved Seats: new first-year students-11 (none available); Consent of professor required for late entry",G4: Exploring Past and Present
,,,,,,,,,,,,,,,,,,
Anthropology,,,,,,,,,,,,,,,,,,
15579,ANTH,106,A,Introductory Physical Anthropology and Archaeology,4,S Sherwood,TR,1100,1215,,,,Gailor Hall 011,84,82,Available: 1 // Waitlist: 1,Reserved Seats: new first-year students-40 (none available); Consent of professor required for late entry,"G4: Exploring Past and Present,G5: Observing-Experimenting-Modeling"
15924,ANTH,298,A,Ecological Anthropology,4,C Ray,TR,1100,1215,,,,Gailor Hall 212,20,20,Closed // Waitlist: 0,Consent of professor required for late entry,
15580,ANTH,314,A,Colonialism and Culture,4,D Murdock,MWF,1000,1050,,,,Carnegie Hall 013,18,18,Closed // Waitlist: 0,Prerequisites: ANTH 104 or INGS 200 or WMST 100; Consent of professor required for late entry,
15581,ANTH,318,A,North American Archaeology,4,S Sherwood,TR,1500,1615,,,,Snowden Hall 221,15,12,Available: 3,Consent of professor required for late entry,
15582,ANTH,319,A,Medical Anthropology,4,R O'Connor,TR,930,1045,,,,Woods Laboratories 342,18,18,Closed // Waitlist: 0,Consent of professor required for late entry,
15805,ANTH,371,A,The Anthropology of Water,4,C Ray,T,1930,2230,,,,Carnegie Hall 013,19,19,Closed // Waitlist: 0,Consent of professor required for late entry,
15583,ANTH,391,A,Junior Tutorial,4,R O'Connor,W,1300,1530,,,,Stirlings ,15,6,Available: 9,GMWI: Upper-Level (Major) Writing Intensive; Prerequisite: ANTH 104; Consent of professor required for late entry,
15584,ANTH,403,A,Social Theory,4,D Murdock,M,1300,1530,,,,Woods Laboratories 342,15,10,Available: 5,Open only to seniors pursuing majors in anthropology; Consent of professor required for late entry,
,,,,,,,,,,,,,,,,,,
Arabic,,,,,,,,,,,,,,,,,,
15534,ARAB,104,A,Elementary Arabic II,4,L King,MWF,900,950,W,1400,1500,Gailor Hall 019,20,6,Available: 14,Prerequisites: ARAB 103 or placement; Consent of professor required for late entry,
16030,ARAB,204,A,Intermediate Arabic II,4,S Abushkheidem,W,1400,1630,,,,Snowden Hall 212,20,4,Available: 16,Prerequisites: ARAB 203 or placement; Consent of professor required for late entry,G6: Comprehending Cross-Culturally (Language)
,,,,,,,,,,,,,,,,,,
Archaeology,,,,,,,,,,,,,,,,,,
15581,ANTH,318,A,North American Archaeology,4,S Sherwood,TR,1500,1615,,,,Snowden Hall 221,15,12,Available: 3,Consent of professor required for late entry,
15809,ARCH,350,A,Special Topics: Digital Archaeology,4,J DiBiasie,MW,1400,1515,R,1500,1700,Gailor Hall 112,10,8,Available: 2,Prerequisites: ANTH 106 or ANTH 109 or CLST 207 or CLST 208 or CLST 220; Consent of professor required for late entry,
15727,BIOL,213,A,Evolutionary Biology,4,M Schrader,MWF,900,950,,,,Woods Laboratories 123,20,20,Closed // Waitlist: 0,Non-Lab Science; Prerequisite: BIOL 130; Consent of professor required for late entry,
15870,ENST,317,A,Advanced Applications of GIS,4,C Van de Ven,TR,800,915,R,1330,1630,duPont Library G10,18,16,Available: 2,Prerequisite: ENST 217; Consent of professor required for late entry,
,,,,,,,,,,,,,,,,,,
